character,key,label,sp_cost,target,actions,description,extra
Jett Kimura,kimura,Kimura Special,50,self,"[{""kind"":""mode"",""name"":""kimura"",""turns"":2}]","For 2 turns: Warning Shot deals 10 piercing dmg instead of stunning, and Piercing Volley becomes a 45 piercing AOE.",
Jett Kimura,reload,Reload and Cover,0,self,"[{""kind"":""effect"",""type"":""invuln"",""turns"":1},{""kind"":""modeClear"",""name"":""kimura""},{""kind"":""spgain"",""amount"":20,""target"":""self""}]","Free. Jett becomes invulnerable this turn, clears Kimura Special, and gains 20 SP.",
Shou,heavyslash,Heavy Slash,50,enemy,"[{""kind"":""damage"",""base"":40},{""kind"":""effect"",""type"":""stun"",""turns"":1,""target"":""self""}]","40 dmg to one opponent; stuns Shou next turn. While Arahabaki is active, deals 65 dmg with no self-stun.","{""altIf"":""arahabaki"",""altActions"":[{""kind"":""damage"",""base"":65}],""altDesc"":""Arahabaki active: 65 damage, no self-stun.""}"
Shou,conjure,Conjure the Elements,30,aoe_enemy,"[{""kind"":""damage"",""base"":15},{""kind"":""damage"",""base"":5,""target"":""aoe_team""}]","15 AOE damage to enemies, 5 AOE damage to allies. While Arahabaki is active, deals 30/15 instead.","{""altIf"":""arahabaki"",""altActions"":[{""kind"":""damage"",""base"":30},{""kind"":""damage"",""base"":15,""target"":""aoe_team""}],""altDesc"":""Arahabaki active: 30 AOE damage to enemies, 15 AOE damage to allies.""}"
Shou,arahabaki,Arahabaki,80,self,"[{""kind"":""mode"",""name"":""arahabaki"",""turns"":4,""selfDamage"":10}]","For 4 turns: Shou takes 10 self-damage per turn. Heavy Slash becomes 65 dmg with no self-stun, and Conjure the Elements becomes 30/15 AOE.",
Shou,selfpreservation,Self Preservation,50,self,"[{""kind"":""heal"",""amount"":60,""target"":""self""},{""kind"":""damage"",""base"":10,""target"":""aoe_team_others""}]","Heals Shou 60 HP; deals 10 damage to each other living ally. Unusable if all allies are dead.","{""requires"":{""alliesAlive"":true}}"
Maako Karsean,fierypunch,Fiery Punch,20,enemy,"[{""kind"":""damage"",""base"":30},{""kind"":""effect"",""type"":""burn"",""turns"":2,""chance"":0.5}]","30 dmg with 50% chance to burn (2). While Intangible Flames is active, deals 10 dmg with a guaranteed burn instead.","{""altIf"":""intangible"",""altActions"":[{""kind"":""damage"",""base"":10},{""kind"":""effect"",""type"":""burn"",""turns"":2,""chance"":1}],""altDesc"":""Intangible Flames active: 10 damage, guaranteed burn (2).""}"
Maako Karsean,intangible,Intangible Flames,50,self,"[{""kind"":""mode"",""name"":""intangible"",""turns"":3,""dodgeChance"":0.75}]","For 3 turns, Maako has a 75% chance to dodge incoming attacks.",
Maako Karsean,reckoning,Flames of Reckoning,80,aoe_enemy,"[{""kind"":""damage"",""base"":30},{""kind"":""effect"",""type"":""burn"",""turns"":2},{""kind"":""modeClear"",""name"":""intangible""}]","Requires Intangible Flames active. 30 AOE damage and burns (2) all enemies. Ends Intangible Flames.","{""requires"":{""mode"":""intangible""}}"
Maako Karsean,firewall,Fire Wall,30,ally,"[{""kind"":""effect"",""type"":""invuln"",""turns"":1}]","Makes an ally invulnerable for one turn. While Intangible Flames is active, also burns that ally.","{""extraIf"":""intangible"",""extraActions"":[{""kind"":""effect"",""type"":""burn"",""turns"":2}],""extraDesc"":""Intangible Flames active: also burns the ally (2).""}"
Star Trethowan,charmshuriken,Charm-shuriken,10,aoe_enemy,"[{""kind"":""damage"",""base"":10},{""kind"":""effect"",""type"":""charm"",""turns"":99}]","Now targets two opponents, dealing 10 damage while afflicting them with Charm.","{""pickRandom"":2}"
Star Trethowan,loveillusion,Love Illusion,20,self,"[{""kind"":""effect"",""type"":""invuln"",""turns"":1},{""kind"":""damage"",""base"":15,""target"":""aoe_charmed_enemy"",""unguardable"":true,""clearEffect"":""charm""}]","Star becomes invulnerable for 1 turn; deals 15 unguardable damage to every Charmed enemy and removes their Charm.",
Star Trethowan,kissofdeath,Kiss of Death,65,aoe_charmed_enemy,"[{""kind"":""damage"",""base"":30,""unguardable"":true,""clearEffect"":""charm""}]","Deals 30 unguardable damage to every Charmed enemy and removes their Charm. Requires at least one Charmed enemy.",
Star Trethowan,brokenheart,Broken Heart,50,aoe_charmed_enemy,"[{""kind"":""effect"",""type"":""stun"",""turns"":1,""clearEffect"":""charm""},{""kind"":""effect"",""type"":""expose"",""turns"":1}]","Stuns every Charmed enemy and reduces their defense by 50% for one turn, then removes their Charm. Requires at least one Charmed enemy.",
Sai Ryuzaki,bindingchain,Binding Chain,20,enemy,"[{""kind"":""effect"",""type"":""bind"",""turns"":2}]","Binds one opponent for 2 turns.",
Sai Ryuzaki,ballandchain,Ball & Chain,30,enemy,"[{""kind"":""damage"",""base"":20}]","Deals 20 damage to one opponent. If they're bound by Binding Chain, deals 40 unguardable damage instead and releases the bind.","{""altIfTargetEffect"":""bind"",""altActions"":[{""kind"":""damage"",""base"":40,""unguardable"":true,""clearEffect"":""bind""}]}"
Sai Ryuzaki,chaindance,Chain Dance,20,self,"[{""kind"":""stack"",""name"":""chaindance"",""amount"":1,""max"":3}]","Stack up to 3 times. Each stack adds 25 unguardable damage to Half-moon Melee.",
Sai Ryuzaki,halfmoonmelee,Half-moon Melee,65,enemy,"[{""kind"":""damage"",""base"":0,""stackBonus"":{""name"":""chaindance"",""per"":25},""consumeStack"":""chaindance"",""unguardable"":true,""cap"":55}]","Deals 25 unguardable damage per Chain Dance stack to one opponent, capped at 55. Consumes all stacks. Requires at least 1 stack.","{""requires"":{""stacks"":{""name"":""chaindance"",""min"":1}}}"
Sendara Al Vere,spearchuck,Spear Chuck,20,enemy,"[{""kind"":""damage"",""base"":25,""comboBonus"":{""per"":5}}]","Deals 25 damage to one opponent. +5 damage for each consecutive turn it's used in a row.","{""comboKey"":""spearchuck""}"
Sendara Al Vere,warriorspirit,Warrior Spirit,10,self,"[{""kind"":""mod"",""stat"":""spregen"",""amount"":5,""turns"":3}]","Gain an extra +5 SP per turn for 3 turns. Stacks with itself if used again before it expires.",
Sendara Al Vere,unyieldingbarrage,Unyielding Barrage,60,enemy,"[{""kind"":""damage"",""base"":50},{""kind"":""effect"",""type"":""stun"",""turns"":2,""target"":""self""}]","Deals 50 damage to one opponent; Sendara can't act for 2 turns afterward. Can't be used the turn right after Spear Chuck.","{""requires"":{""notAfterMove"":""spearchuck""}}"
Sendara Al Vere,standyourground,Stand Your Ground,45,self,"[{""kind"":""effect"",""type"":""shield"",""turns"":2,""target"":""self""},{""kind"":""effect"",""type"":""stun"",""turns"":1,""target"":""self""}]","For 2 turns, damage taken is reduced by 50%; Sendara can't act next turn.",
Kenshin,macebash,Mace Bash,20,enemy,"[{""kind"":""damage"",""base"":15,""stackBonus"":{""name"":""lightningcharge"",""per"":10}},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.5}]","Deals 15 damage (+10 per Lightning Charge stack) with a 50% chance to stun.",
Kenshin,lightningcharge,Lightning Charge,20,self,"[{""kind"":""stack"",""name"":""lightningcharge"",""amount"":1,""max"":3}]","Stack up to 3 times. Each stack adds +10 damage to Kenshin's attacks. Can't be used while Rock Armor is stacked.","{""requires"":{""stacksZero"":""rockarmor""}}"
Kenshin,rockarmor,Rock Armor,20,self,"[{""kind"":""stack"",""name"":""rockarmor"",""amount"":1,""max"":3}]","Stack up to 3 times. Each stack reduces incoming damage by 25%. Can't be used while Lightning Charge is stacked.","{""requires"":{""stacksZero"":""lightningcharge""}}"
Kenshin,elementalbarrage,Elemental Barrage,70,aoe_enemy,"[{""kind"":""damage"",""base"":30,""stackBonus"":{""name"":""lightningcharge"",""per"":10}}]","Deals 30 AOE damage. Causes burn if Lightning Charge is stacked, or stun if Rock Armor is stacked. Stacks are removed after use.","{""extras"":[{""ifStack"":{""name"":""lightningcharge"",""min"":1},""actions"":[{""kind"":""effect"",""type"":""burn"",""turns"":2}]},{""ifStack"":{""name"":""rockarmor"",""min"":1},""actions"":[{""kind"":""effect"",""type"":""stun"",""turns"":1}]}],""clearStacksAfter"":[""lightningcharge"",""rockarmor""]}"
Kairu Yusoko,imbuewithlight,Imbue with Light,20,self,"[{""kind"":""mode"",""name"":""imbuedlight"",""turns"":3,""dodgeChance"":0.5}]","For 3 turns, Kairu has a 50% chance to dodge all incoming attacks.",
Kairu Yusoko,bostaffstrike,Bo Staff Strike,20,enemy,"[{""kind"":""damage"",""base"":20}]","Deals 20 damage to one opponent. Causes stun if Imbue with Light is active.","{""extraIf"":""imbuedlight"",""extraActions"":[{""kind"":""effect"",""type"":""stun"",""turns"":1}]}"
Kairu Yusoko,flashkick,Flash Kick,60,enemy,"[{""kind"":""damage"",""base"":50}]","Deals 50 damage to one opponent. Causes stun if Imbue with Light is active.","{""extraIf"":""imbuedlight"",""extraActions"":[{""kind"":""effect"",""type"":""stun"",""turns"":1}]}"
Kairu Yusoko,lightoflife,Light of Life,40,self,"[{""kind"":""heal"",""amount"":25,""target"":""self""},{""kind"":""modeClear"",""name"":""imbuedlight""}]","Heals Kairu 25 HP. If Imbue with Light is active, heals all allies 25 HP instead. Removes Imbue with Light.","{""altIf"":""imbuedlight"",""altActions"":[{""kind"":""heal"",""amount"":25,""target"":""aoe_team""},{""kind"":""modeClear"",""name"":""imbuedlight""}]}"
Liara Mitsuke,quickstep,Quick Step,30,self,"[{""kind"":""mode"",""name"":""quickstep"",""turns"":3,""extraAction"":true}]","For 3 turns, Liara performs two actions in one turn.",
Liara Mitsuke,sonicblade,Sonic Blade,20,enemy,"[{""kind"":""damage"",""base"":10,""unguardable"":true}]","Deals 10 unguardable damage to an opponent.",
Liara Mitsuke,sonicedge,Sonic Edge,50,enemy,"[{""kind"":""damage"",""base"":25,""unguardable"":true}]","Deals 25 unguardable damage to an opponent.",
Liara Mitsuke,roninsrevenge,Ronin's Revenge,30,ally,"[{""kind"":""guard"",""dmg"":15}]","Select an ally; if that ally is targeted for an attack, Liara deals 15 unguardable damage to the attacker.",
Tana Phoenix,heatseeker,Heatseeker,30,aoe_enemy,"[{""kind"":""damage"",""base"":10,""targetBonus"":{""effect"":""burn"",""amount"":15}}]","Deals 10 AOE damage, 25 to targets afflicted with Burn.",
Tana Phoenix,heatwave,Heatwave,40,aoe_enemy,"[{""kind"":""effect"",""type"":""burn"",""turns"":2}]","Burns all opponents for two turns.",
Tana Phoenix,scorchingjumpkick,Scorching Jump Kick,40,enemy,"[{""kind"":""damage"",""base"":25},{""kind"":""effect"",""type"":""burn"",""turns"":2,""chance"":0.5}]","Deals 25 damage with a 50% chance to burn the target (2).",
Tana Phoenix,infernaloutburst,Infernal Outburst,75,aoe_enemy,"[{""kind"":""damage"",""base"":35,""targetBonus"":{""effect"":""burn"",""amount"":15}}]","Deals 35 AOE damage, 50 to targets afflicted with Burn.",
Ben Sherman,kicontrol,Ki Control,10,self,"[{""kind"":""mod"",""stat"":""spregen"",""amount"":10,""turns"":3},{""kind"":""mode"",""name"":""kicontrol"",""turns"":3}]","Ben gains an additional 10 SP per turn for three turns. Can't be used while Ki Control is active.","{""requires"":{""modeZero"":""kicontrol""}}"
Ben Sherman,fistoftheking,Fist of the King,70,self,"[{""kind"":""mode"",""name"":""fistoftheking"",""turns"":3,""selfDamage"":10,""dmgMult"":2}]","For 3 turns, Ben loses 10 HP per turn but his damage output is increased by 100%.",
Ben Sherman,meteorcombo,Meteor Combo,30,enemy,"[{""kind"":""damage"",""base"":30}]","Deals 30 damage to a single opponent.",
Ben Sherman,warriorinstinct,Warrior Instinct,0,self,"[{""kind"":""effect"",""type"":""immune"",""turns"":1,""target"":""self""},{""kind"":""guard"",""dmg"":10}]","Prevents status changes for one turn; deals 10 damage to the attacker if Ben is targeted.",
Paul Watoski,tuneup,Tune-up,40,ally,"[{""kind"":""heal"",""amount"":15,""target"":""ally""},{""kind"":""spgain"",""amount"":10},{""kind"":""cleanse""}]","Heals an ally 15 HP and 10 SP, and removes negative status effects.",
Paul Watoski,strategize,Strategize,50,ally,"[{""kind"":""effect"",""type"":""invuln"",""turns"":1,""target"":""self""},{""kind"":""mode"",""name"":""strategize"",""turns"":1,""dmgMult"":1.25}]","Paul becomes invulnerable for one turn; a chosen ally's damage output rises 25% for one turn.",
Paul Watoski,builddrone,Build-Drone,20,self,"[{""kind"":""stack"",""name"":""dronestack"",""amount"":1,""max"":3}]","Gain a Drone stack (max 3). Each stack grants +25% Defense.",
Paul Watoski,selfdestructsequence,Self-destruct Sequence,60,aoe_enemy,"[{""kind"":""damage"",""base"":0,""stackBonus"":{""name"":""dronestack"",""per"":15},""consumeStack"":""dronestack""}]","Deals 15 AOE damage per Drone stack and consumes all stacks. Requires at least 1 stack.","{""requires"":{""stacks"":{""name"":""dronestack"",""min"":1}}}"
Kaitsu Hoshigaki,selfproclamation,Self-Proclamation,25,self,"[{""kind"":""mode"",""name"":""selfproclamation"",""turns"":2,""dmgMult"":1.25,""dodgeChance"":0.25}]","For 2 turns, gains 25% damage output and 25% evasiveness. Can't be used consecutively.","{""comboKey"":""selfproclamation"",""requires"":{""notAfterMove"":""selfproclamation""}}"
Kaitsu Hoshigaki,steadyaim,Steady Aim,25,self,"[{""kind"":""mode"",""name"":""steadyaim"",""turns"":1,""trueStrike"":true}]","During the next turn, Kaitsu can target invulnerable and intangible targets with 100% effectiveness.",
Kaitsu Hoshigaki,piercingarrow,Piercing Arrow,30,enemy,"[{""kind"":""damage"",""base"":25,""unguardable"":true}]","Deals 25 unguardable damage.",
Kaitsu Hoshigaki,impressiveshowcase,Impressive Showcase,65,aoe_enemy,"[{""kind"":""damage"",""base"":30}]","Deals 30 AOE damage.",
Alasia Maltese,detonate,Detonate,60,aoe_enemy,"[{""kind"":""damage"",""base"":0,""unguardable"":true,""requiresTargetStack"":{""name"":""bomb"",""min"":1},""targetStackBonus"":{""name"":""bomb"",""per"":15},""consumeTargetStack"":""bomb""},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25,""requiresTargetStack"":{""name"":""bomb"",""min"":1}}]","Deals 15 unguardable damage to opponents with bomb tokens (per token) with a 25% chance to stun. Removes bomb tokens from affected targets.",
Alasia Maltese,manipulation,Manipulation,40,enemy,"[{""kind"":""effect"",""type"":""confuse"",""turns"":2}]","Confuses one opponent for two turns. Confused opponents have a 50% chance each turn of striking their own random ally for 15 unguardable damage instead of acting.",
Alasia Maltese,scatterflash,Scatter Flashes,30,aoe_enemy,"[{""kind"":""damage"",""base"":10,""unguardable"":true},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25},{""kind"":""stack"",""name"":""bomb"",""amount"":1,""max"":99}]","AOE dealing 10 unguardable damage with a 25% chance to stun. Adds one bomb token to affected targets.",
Alasia Maltese,calculatedplacement,Calculated Placement,20,enemy,"[{""kind"":""stack"",""name"":""bomb"",""amount"":2,""max"":99}]","Select an opponent and add two bomb tokens to them.",
Lyra,fortunategift,Fortunate Gift,20,ally,"[{""kind"":""heal"",""amount"":15,""target"":""ally""},{""kind"":""mod"",""stat"":""spd"",""amount"":2,""turns"":2}]","Heals an ally 15 HP and blesses them, raising their speed one step for two turns. While in Hera Takeover, heals 75 HP and curses them instead, lowering their speed one step for two turns.","{""altIf"":""hera"",""altActions"":[{""kind"":""heal"",""amount"":75,""target"":""ally""},{""kind"":""mod"",""stat"":""spd"",""amount"":-2,""turns"":2}],""altDesc"":""Hera Takeover active: Costly Curse — heals 75 HP and curses the ally, lowering their speed one step for two turns.""}"
Lyra,heratakeover,Hera Takeover,80,self,"[{""kind"":""cleanse"",""target"":""self""},{""kind"":""mode"",""name"":""hera"",""turns"":2,""costMultiplier"":2},{""kind"":""mod"",""stat"":""spd"",""amount"":6,""turns"":2}]","Removes all negative statuses from Lyra. For two turns her speed rises to its maximum tier and her SP costs double.",
Lyra,bubble,Bubble,25,aoe_enemy,"[{""kind"":""damage"",""base"":10}]","Deals 10 AOE damage to all opponents. While in Hera Takeover, deals 30 damage with a 50% chance to curse opponents, lowering their speed one step.","{""altIf"":""hera"",""altActions"":[{""kind"":""damage"",""base"":30},{""kind"":""mod"",""stat"":""spd"",""amount"":-2,""turns"":1,""chance"":0.5}],""altDesc"":""Hera Takeover active: Storm — 30 AOE damage with a 50% chance to curse opponents (speed -1 step, 1 turn).""}"
Lyra,braveelement,Brave Element,30,enemy,"[{""kind"":""damage"",""base"":30}]","Deals 30 damage to a single target. While in Hera Takeover, deals 60 damage and curses them, lowering their speed one step for one turn.","{""altIf"":""hera"",""altActions"":[{""kind"":""damage"",""base"":60},{""kind"":""mod"",""stat"":""spd"",""amount"":-2,""turns"":1}],""altDesc"":""Hera Takeover active: Woeful Resonance — 60 damage and curses the target (speed -1 step, 1 turn).""}"
Robert Asuko,strongright,Strong Right,20,enemy,"[{""kind"":""damage"",""base"":30},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25}]","Deals 30 damage to one opponent with a 25% chance of stun. While Asuko Roll is active, deals 45 damage with a 50% chance to stun instead.","{""altIf"":""asukoroll"",""altActions"":[{""kind"":""damage"",""base"":45},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.5}],""altDesc"":""Asuko Roll active: 45 damage with a 50% chance to stun.""}"
Robert Asuko,asukoroll,Asuko Roll,50,self,"[{""kind"":""mode"",""name"":""asukoroll"",""turns"":2}]","For two turns, if an opponent targets Rob he has a 50% chance of countering for 15 damage. Strong Right also increases to 45 damage with a 50% chance to stun.",
Robert Asuko,bullycombo,Bully Combo,30,enemy,"[{""kind"":""damage"",""base"":10,""comboBonus"":{""doublePerStreak"":true}}]","Deals 10 damage, doubling every consecutive turn Rob targets the same opponent with this attack. Streak breaks if another move or target is chosen, or Rob is immobilized by a status.","{""comboKey"":""bullycombo"",""comboSameTarget"":true}"
Robert Asuko,guardup,Guard Up,20,ally,"[{""kind"":""effect"",""type"":""shield"",""turns"":1,""target"":""self""},{""kind"":""effect"",""type"":""invuln"",""turns"":1}]","For one turn Rob takes 50% less damage; he can also select one ally (or himself) to become invulnerable for one turn.",
Soren Harutaki,immovableshield,Immovable Shield,20,ally,"[{""kind"":""effect"",""type"":""shield"",""turns"":2},{""kind"":""mod"",""stat"":""spregen"",""amount"":10,""turns"":2}]","Casts a shield on one ally or self, granting 50% damage reduction and +10 SP per turn for two turns.",
Soren Harutaki,reflectbarrier,Reflect Barrier,40,ally,"[{""kind"":""effect"",""type"":""barrier"",""turns"":3}]","Casts a barrier on one ally or self. The next attack against them is reduced to zero damage and they take 25% of that damage instead. Disappears after being targeted.",
Soren Harutaki,refractionmirror,Refraction Mirror,40,ally,"[{""kind"":""effect"",""type"":""mirror"",""turns"":3}]","Casts a mirror on one ally or self. The next attack against them is reduced to zero damage and they heal 25% of that damage instead. Disappears after being targeted.",
Soren Harutaki,impenetrablefortress,Impenetrable Fortress,80,aoe_team,"[{""kind"":""mode"",""name"":""fortress"",""turns"":3,""dmgReduction"":0.75}]","For three turns, all damage done to allies is reduced by 75%.",
Arthur Kinglion,setupcover,"Setup, Mount & Cover",30,self,"[{""kind"":""mode"",""name"":""cover"",""turns"":1,""untargetable"":true,""dmgMult"":1.5}]","For one turn Arthur can't be targeted by attacks or by allies. His damage output increases by 50%.",
Arthur Kinglion,lockon,Lock-on,20,enemy,"[{""kind"":""lockon"",""turns"":2}]","Choose a target; for two turns they can't dodge Arthur's attacks while locked on. Only one target can be locked on at a time.",
Arthur Kinglion,directshot,Direct Shot,50,enemy,"[{""kind"":""damage"",""base"":40,""ignore"":1},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25}]","Deals 40 piercing damage with a 25% chance to stun. If Lock-on is active, deals 55 instead.","{""altIf"":""lockon"",""altActions"":[{""kind"":""damage"",""base"":55,""ignore"":1},{""kind"":""effect"",""type"":""stun"",""turns"":1,""chance"":0.25}],""altDesc"":""Lock-on active: deals 55 piercing damage with a 25% chance to stun.""}"
Arthur Kinglion,changemagazine,Change Magazine,0,self,"[{""kind"":""spgain"",""amount"":30,""target"":""self""},{""kind"":""modeClear"",""name"":""lockon""}]","Gains 30 SP; if Lock-on is active, removes it. Can't be used twice in a row.","{""comboKey"":""changemagazine"",""requires"":{""notAfterMove"":""changemagazine""}}"
Kobayashi,palm,Chi Palm,20,enemy,"[{""kind"":""damage"",""base"":12}]","Solid strike.",
Kobayashi,meditate,Meditate,20,self,"[{""kind"":""heal"",""amount"":8}]","Heal 8.",
Kobayashi,shock,Chi Shockwave,35,aoe_enemy,"[{""kind"":""damage"",""base"":8}]","AOE chi pulse.",
Kobayashi,ward,Chi Ward,35,ally,"[{""kind"":""effect"",""type"":""shield"",""turns"":1}]","Shield (1).",
Hakudoshi Inoue,slam,Body Slam,20,enemy,"[{""kind"":""damage"",""base"":12},{""kind"":""effect"",""type"":""stun"",""turns"":1}]","Hit + Stun (1).",
Hakudoshi Inoue,provoke,Provoke,35,aoe_enemy,"[{""kind"":""mod"",""stat"":""atk"",""amount"":-1,""turns"":2},{""kind"":""effect"",""type"":""shield"",""turns"":1,""target"":""self""}]","Enemy ATK -1; self Shield.",
Hakudoshi Inoue,fortify,Fortify,35,self,"[{""kind"":""mod"",""stat"":""def"",""amount"":4,""turns"":2}]","+4 DEF (2).",
Hakudoshi Inoue,guardall,Cover,35,aoe_team,"[{""kind"":""effect"",""type"":""shield"",""turns"":1}]","Shield all allies (1).",
Sora Lorashu,flurry,Elemental Flurry,20,enemy,"[{""kind"":""damage"",""base"":14}]","Empowered strike.",
Sora Lorashu,eruption,Eruption,35,aoe_enemy,"[{""kind"":""damage"",""base"":10}]","AOE elemental hit.",
Sora Lorashu,temper,Temper Blade,35,self,"[{""kind"":""mod"",""stat"":""atk"",""amount"":3,""turns"":2}]","+3 ATK (2).",
Sora Lorashu,veil,Veil,35,ally,"[{""kind"":""effect"",""type"":""shield"",""turns"":1}]","Shield (1).",
Allie Mustang,hex,Hex,20,enemy,"[{""kind"":""mod"",""stat"":""atk"",""amount"":-2,""turns"":2},{""kind"":""damage"",""base"":9}]","ATK -2 (2) + hit.",
Allie Mustang,blight,Blight,35,aoe_enemy,"[{""kind"":""effect"",""type"":""burn"",""turns"":1},{""kind"":""damage"",""base"":7}]","AOE + Burn (1).",
Allie Mustang,drain,Life Drain,35,enemy,"[{""kind"":""damage"",""base"":12},{""kind"":""heal"",""amount"":6,""target"":""self""}]","Hit; heal half (6).",
Allie Mustang,shadow,Shadow Veil,35,self,"[{""kind"":""mod"",""stat"":""spd"",""amount"":3,""turns"":2},{""kind"":""effect"",""type"":""shield"",""turns"":1}]","+3 SPD (2) + Shield.",
Kara Higgins,anthem,Muse's Anthem,35,aoe_team,"[{""kind"":""mod"",""stat"":""atk"",""amount"":3,""turns"":2},{""kind"":""effect"",""type"":""shield"",""turns"":1,""target"":""self""}]","Team +3 ATK (2); self Shield.",
Kara Higgins,dirge,Dirge,35,aoe_enemy,"[{""kind"":""mod"",""stat"":""atk"",""amount"":-2,""turns"":2}]","Enemies ATK -2 (2).",
Kara Higgins,solo,Inspiring Solo,20,ally,"[{""kind"":""mod"",""stat"":""spd"",""amount"":4,""turns"":2}]","+4 SPD (2).",
Kara Higgins,cadenza,Cadenza,35,self,"[{""kind"":""mod"",""stat"":""def"",""amount"":3,""turns"":2}]","+3 DEF (2).",
